Column1;title;date;url;author;topic;summary;text
132;Covid-19 : Quelle est la situation épidémique dans Nantes Métropole?;11/03/2021;https://actu.fr/pays-de-la-loire/nantes_44109/covid-19-quelle-est-la-situation-epidemique-dans-nantes-metropole_46157507.html;Thomas Bernard;societe;Ce mardi 2 novembre 2021, l'Agence régionale de santé des Pays de la Loire, a livré lors de son point presse hebdomadaire, les chiffres de l'épidémie dans la région.;Actu Pays de la Loire Loire-Atlantique Nantes Covid-19 : Quelle est la situation épidémique dans Nantes Métropole? Ce mardi 2 novembre 2021, l'Agence régionale de santé des Pays de la Loire, a livré lors de son point presse hebdomadaire, les chiffres de l'épidémie dans la région. Le taux d’incidence s’élève  à 75 pour 100 000 habitants dans la métropole nantaise. (Illustration/©Archives Julien Sureau / actu Nantes)   Actu Nantes Mon actu Suivre « Le feu est orange », alerte Jean-Jacques Coiplet, le directeur de l’Agence régionale de santé des Pays de la Loire (ARS). Lors de la conférence de presse hebdomadaire, l’ARS a livré les chiffres de l’épidémie dans la région.  « Cinquième vague » Lors de sa prise de parole, le docteur Pierre Blaise, directeur scientifique de l’ARS des Pays de la Loire, a évoqué « une cinquième vague » à l’échelle nationale. Dans la région, les autorités sanitaires observent un « relâchement des gestes barrières » et la création de clusters notamment après des thés dansants. Dans la métropole nantaise, le taux d’incidence a augmenté au cours de ses dix derniers jours, passant de 65 à 75, pour 100 000 habitants. Chez les plus de 65 ans, population fragile éligible au rappel vaccinal, le taux d’incidence est de 56 pour 100 000 habitants. A titre de comparaison, la Loire-Atlantique affiche un taux d’incidence de 73,3 cas positifs pour 100 000 habitants et de 77,1 chez les personnes âgées de plus de 65 ans. Le masque de retour dans les lieux soumis au pass sanitaire ? La semaine dernière, le préfet de Loire-Atlantique a de nouveau rendu obligatoire le masque dans les lieux soumis au pass sanitaire, dans 23 communes du sud-ouest du département ainsi que dans le pays de Châteaubriant et Ancenis, jusqu’au 19 novembre 2021. Pour l’instant, l’arrêté préfectoral ne concerne pas Nantes. « Le taux d’incidence augmente à Nantes mais il n’atteint pas les taux d’alerte observés dans d’autres territoires du département », justifie Didier Martin, préfet de Loire-Atlantique. Toutefois, le représentant de l’Etat n’exclut pas d’étendre l’arrêté en cas de hausse trop importante. « Si l’arrêté n’est pas obligatoire, un responsable d’un établissement recevant du public (ERP), peut décider d’imposer le port du masque en plus du pass sanitaire », précise le préfet.  Globalement, la situation reste stable malgré une poussée du taux d’incidence. « Nous sommes au feu orange, nous souhaitons repasser au feu jaune et éviter le rouge », conclut Jean-Jacques Coiplet.  
133;Covid-19. Grand Est : le pass sanitaire est-il valable dans les pays frontaliers ?;11/03/2021;https://actu.fr/societe/coronavirus/covid-19-grand-est-le-pass-sanitaire-est-il-valable-dans-les-pays-frontaliers_46158584.html;Ninon Oget;societe;Les pays de l'Union européenne possèdent des applications de contrôle pour le pass sanitaire. Au Luxembourg, en Allemagne, en Belgique ou en Suisse, notre QR code est-il valable ?;Actu Grand-Est Covid-19. Grand Est : le pass sanitaire est-il valable dans les pays frontaliers ? Les pays de l'Union européenne possèdent des applications de contrôle pour le pass sanitaire. Au Luxembourg, en Allemagne, en Belgique ou en Suisse, notre QR code est-il valable ? Le QR code de l’application TousAntiCovid est-il valable au Luxembourg, en Belgique, en Allemagne ou encore en Suisse ?.    Lorraine Actu Mon actu Suivre Les festivités de Noël approchent et les habitants du Grand Est rejoindront peut-être les marchés des pays frontaliers, à savoir le Luxembourg, l’Allemagne, la Belgique ou encore la Suisse. En revanche, certains d’entre eux demanderont le pass sanitaire pour accéder aux événements. Mais votre QR code, accessible depuis votre application française, est-il valide chez nos voisins ? À lire aussi Covid-19 au Luxembourg : une durée de validité pour le certificat de vaccination Le QR code valide dans les pays européens Le Centre européen de la consommation précise que « depuis le 1er juillet, les justificatifs sanitaires ont été harmonisés à l’échelle européenne ». De ce fait, votre certificat de vaccination, de guérison ou de test négatif sera reconnu dans les Etats membres, même s’ils ne possèdent pas l’application TousAntiCovid, propre à la France. Pour contrôler et stocker des justificatifs sanitaires, le Luxembourg possède l’application TousAntiCovid.  En effet, celle-ci se nomme CovidCheck au Luxembourg ou encore CovidSafe en Belgique. Pour ce qui est de l’Allemagne, il s’agit de l’outil Corona-Warn et Covid-Cert en Suisse. Depuis ces applications, vous pouvez y stocker vos justificatifs sanitaires. Néanmoins, cela n’est pas nécessaire pour être contrôlé comme valide : la présentation de votre QR code sur TousAntiCovid ou en format papier sera suffisant. 
134;Vaucluse. L'épidémie reprend, les hospitalisations sont de plus en plus nombreuses;11/03/2021;https://actu.fr/societe/coronavirus/vaucluse-l-epidemie-reprend-les-hospitalisations-sont-de-plus-en-plus-nombreuses_46158028.html;Sarah Zafrani;societe;Dans le Vaucluse, la reprise épidémique se confirme, même si elle a lieu à un rythme très lent. Les entrées à l'hôpital pour des cas de Covid-19 sont de plus en plus nombreuses.;Actu Provence-Alpes-Côte d'Azur Vaucluse Vaucluse. L'épidémie reprend, les hospitalisations sont de plus en plus nombreuses Dans le Vaucluse, la reprise épidémique se confirme, même si elle a lieu à un rythme très lent. Les entrées à l'hôpital pour des cas de Covid-19 sont de plus en plus nombreuses. Dans le Vaucluse, selon les derniers chiffres officiels, le nombre d’hospitalisations lié au Covid-19 augmente fortement    Actu Vaucluse Mon actu Suivre Selon le point de situation hebdomadaire publié le mardi 2 novembre par l’Agence régionale de santé (ARS) Provence-Alpes-Côte-d’Azur, le taux d’incidence était, pour la semaine du 25 au 31 octobre, de 55 cas de Covid-19 pour 100 000 habitants. Contre 51 la semaine précédente. Le taux de positivité des tests progresse aussi. Il était de 1,8 % au cours de la semaine écoulée, contre 1,6 % une semaine plus tôt. Parallèlement, le nombre de tests Covid pratiqués dans le département continue de baisser : il y en a eu 16 913 entre le 25 et le 31 octobre, contre 17 519 entre le 18 et le 24 octobre. C’est l’une des conséquences du déremboursement des tests dits « de confort », qui a débuté le 15 octobre, rapporte Le Dauphiné libéré. À titre de comparaison, lors du point de situation du 28 septembre , le nombre de tests Covid pratiqués en une semaine était encore de 31 183. À lire aussi Vaucluse. Covid-19 : le taux d’incidence chute dans le département, la vigilance demeure Le nombre d’hospitalisations augmente Dans le Vaucluse, le nombre de personnes hospitalisées est de plus en plus important. Il y a actuellement dans les hôpitaux du département 72 personnes souffrant de la Covid-19, contre 62 une semaine plus tôt. On déplore également deux nouveaux décès, portant à 974 le nombre de victimes depuis mars 2020, auxquelles il faut ajouter les 186 personnes décédées dans les Ehpad du département (chiffre inchangé). 
135;Covid-19 : le taux d'incidence en forte augmentation dans la Manche;11/03/2021;https://actu.fr/societe/coronavirus/covid-19-le-taux-d-incidence-en-forte-augmentation-dans-la-manche_46157538.html;Thibault Houlette;societe;Si le taux d'incidence lié à la Covid-19 augmente en Normandie (5,8%) par rapport à la semaine passée, ce chiffre est encore plus marquant dans le département de la Manche.;Actu Normandie Manche Covid-19 : le taux d'incidence en forte augmentation dans la Manche Si le taux d'incidence lié à la Covid-19 augmente en Normandie (5,8%) par rapport à la semaine passée, ce chiffre est encore plus marquant dans le département de la Manche. Le taux d’incidence a fortement augmenté dans la Manche en une semaine.    La Presse de la Manche Mon actu Suivre L’ARS de Normandie a fait un nouveau point sur la situation épidémique liée à la Covid-19 en Normandie, région dans laquelle le taux d’incidence augmente de +5,8 % par rapport à la semaine passée pour s’établir à 35,72 contre 33,57 lors du dernier point de situation. À lire aussi Covid-19 : le taux d’incidence a augmenté en Seine-Maritime, comme dans presque toute la Normandie Si le Calvados voit ses chiffres s’améliorer, ce n’est pas le cas pour les autres départements normands, notamment pour la Manche, qui observe une augmentation du taux d’incidence de l’ordre de 46,6%. Pour l’Orne, ce taux s’élève à 57,6%. Pour autant, ces résultats sont à mettre en perspective avec le seuil d’alerte fixé à 50 cas pour 100 000 habitants. Activité hospitalière en augmentation L’arrivée de l’hiver et la circulation d’autres virus, notamment la grippe, peuvent expliquer ce phénomène de hausse, qui n’est pas propre uniquement à la Normandie mais bien à la totalité du territoire français. Concernant l’activité hospitalière, elle est également en augmentation puisqu’au 1er novembre, 321 personnes étaient hospitalisées dans la région pour la Covid-19, contre 284 la semaine dernière. Parmi ces hospitalisations, 30 le sont en réanimation contre 20 lors du dernier point de situation. À lire aussi Pourquoi ne vit-on pas en bonne santé à Cherbourg ? Enfin, le taux de positivité est en augmentation également. Entre le 24 et le 30 octobre, 61 951 personnes ont été testées dont 1 180 (1 109 la semaine précédente) ont présenté un résultat positif. Le taux de positivité monte à 1,9 % contre 1,24 % la semaine précédente. 
136;Hérault. Covid-19 : l’ARS met l’accent sur la reprise épidémique;11/03/2021;https://actu.fr/occitanie/montpellier_34172/herault-covid-19-l-ars-met-l-accent-sur-la-reprise-epidemique_46151308.html;Gil Martin;societe;Ce mardi 2 novembre 2021, l’autorité sanitaire confirme que l’épidémie de la Covid-19 reprend en Occitanie. Dans l'Hérault, on décompte 1,7% de tests positifs en moyenne.;Actu Occitanie Hérault Montpellier Hérault. Covid-19 : l’ARS met l’accent sur la reprise épidémique Ce mardi 2 novembre 2021, l’autorité sanitaire confirme que l’épidémie de la Covid-19 reprend en Occitanie. Dans l'Hérault, on décompte 1,7% de tests positifs en moyenne. L’ARS-Occitanie confirme une reprise de l’épidémie dans toute la région, dont l’Hérault et le Gard    Métropolitain Mon actu Suivre L’Agence régionale de santé -ARS- confirme qu’il n’y a encore 516 hospitalisations en cours dans les 13 départements d’Occitanie, soit +13 hospitalisations en 4 jours dans les hôpitaux régionaux. 90 personnes sont actuellement en réanimation et soins critiques (soit +7 depuis vendredi dernier). Au final, l’ARS recense 5 235 décès à l’hôpital dans la région depuis le début de l’épidémie, en mars 2020, dont +8 en 4 jours. À lire aussi Hérault : le préfet rappelle les mesures sanitaires en vigueur Hérault : encore 100 hospitalisations… Dans l’Hérault, les chiffres de l’épidémie poursuivent également leur baisse. Les hôpitaux enregistrent encore 100 hospitalisations (soit +3 depuis vendredi), dont 18 en réanimation et soins critiques (-1 en 4 jours). A ce jour, l’Hérault compte 1 164 décès liés à la Covid 19, soit +1 depuis vendredi). … Et 69 hospitalisations dans le Gard Dans le Gard, les chiffres de l’épidémie sont également redescendus. On compte encore dans ce département 69 hospitalisations (chiffre stable), dont 17 en réa et soins critiques (-2 en 4 jours). Le Gard déplore 740 victimes depuis le début de la crise sanitaire, avec une nouvelle victime depuis vendredi dernier.   A la hausse : 1,7% de tests positifs en moyenne L’ARS assure que la pandémie repart à la hausse avec un taux de tests positifs de 1,7 %, alors que celui-ci était tombé le mois dernier à moins de 0,9%... Sur 173 000 tests réalisés ces 7 derniers jours dans la région (du 22.10 au 28.10), l’ARS recense 426 cas positif en moyenne par jour. Au total, 2983 cas de contamination u Covid19 ont été enregistrées sur cette période. . 
137;Une minute de silence en mémoire des victimes de la pandémie;11/03/2021;https://actu.fr/societe/coronavirus/une-minute-de-silence-en-memoire-des-victimes-de-la-pandemie_46183175.html;Rédaction La Dépêche de Tahiti;societe;Le gouvernement s'est réuni sur le perron d'honneur autour du président.;Actu Une minute de silence en mémoire des victimes de la pandémie Le gouvernement s'est réuni sur le perron d'honneur autour du président. Le gouvernement s’est réuni sur le perron d’honneur autour du président.    La Dépêche de Tahiti Mon actu Suivre À l’appel du président Édouard Fritch, la population et les administrations du Pays étaient invitées à observer une minute de silence, hier, à la Présidence, en mémoire des personnes décédées durant la pandémie de la Covid-19. Le gouvernement s’est réuni sur le perron d’honneur, autour du président, pour observer la minute de silence, après une prière dite par le pasteur Thierry Tapu. Les agents de la Présidence étaient invités à participer à ce moment de recueillement, tandis qu’une garde d’honneur avait pris place sur les marches du perron. Les drapeaux ont été mis en berne sur l’ensemble des édifices publics du Pays et naturellement sur le toit de la Présidence. Alors que la pandémie a entamé une courbe descendante, le Président a souhaité faire coïncider cette minute de silence à l’occasion de la fête de la Toussaint, célébrée lundi, et de la fête des morts, célébrée hier. Le nombre de personnes décédées s’élève à ce jour à 636. 
138;Le fenua prêt pour une autre vague Covid ?;11/03/2021;https://actu.fr/societe/coronavirus/le-fenua-pret-pour-une-autre-vague-covid_46181691.html;Jennifer Rofes;societe;Si, à l'instar du mois de juillet, l'institut Pasteur voyait juste, le fenua pourrait à nouveau être confrontée à une reprise épidémique dès la fin du mois de décembre.;Actu Le fenua prêt pour une autre vague Covid ? Si, à l'instar du mois de juillet, l'institut Pasteur voyait juste, le fenua pourrait à nouveau être confrontée à une reprise épidémique dès la fin du mois de décembre. Si, à l’instar du mois de juillet, l’institut Pasteur voyait juste, la Polynésie française pourrait à nouveau être confrontée à une reprise épidémique dès la fin du mois de décembre. Pour y faire face, sans avoir à reconfiner, la vaccination et le passe sanitaire s’imposent actuellement comme les seuls outils à disposition.   La Dépêche de Tahiti Mon actu Suivre La commission santé de l’assemblée de la Polynésie a modifié, hier, la date d’application des sanctions prévues par la loi relative à l’obligation vaccinale, comme annoncé par le président Édouard Fritch, il y a trois semaines. Celle-ci est ainsi reportée au 23 décembre prochain. Les salariés des entreprises publiques et privées, qui ne seraient pas en conformité à cette date, auront encore un mois devant eux, soit jusqu’au 23 janvier, pour remédier à leur situation. Par ailleurs, la sénatrice Lana Tetuanui a confirmé dans le même temps qu’au Sénat, l’adaptation du passe sanitaire pour la Polynésie française venait d’être inscrite dans la loi. « Nous avons perdu du temps sur le sujet car accéder aux données personnels des individus relèvent de la compétence de l’État. Donc, même si nos autorités de santé sont prêtes depuis plusieurs semaines, nous devions avoir l’avis de la CNIL et adapter le dispositif à la Polynésie pour lever ce verrou juridique », indique la sénatrice. Annoncé comme opérationnel au fenua le 15 novembre, par le haut-commissariat, ce passe sanitaire est uniquement instauré dans le cadre de la lutte contre la crise sanitaire. « Il nous faut anticiper. Dans le cas d’une reprise épidémique sur le territoire, le passe va permettre à la population et aux entreprises de maintenir leur activité, comme cela a pu être observé en France, cet été, lors de la quatrième vague. Dès lors que vous soyez vacciné ou que vous ayez un test négatif, vous pouvez aller ou vous voulez, sans risquer de contaminer qui que ce soit et sans risquer à votre tour de l’être puisque tout le monde apporte la même preuve que vous. Pour un retour à la normale, sans risquer de mettre à nouveau à l’arrêt notre économie, c’est un outil important », explique Lana Tetuanui. Et penser à ce jour que le fenua, après ce qu’il vient de traverser, ne peut plus être touché par une nouvelle vague est, aux yeux de plusieurs spécialistes, considéré comme « illusoire». Vers une reprise épidémique d’ici deux mois ? Pour preuve, dans l’Hexagone, la reprise épidémique, malgré un taux de vaccination en population générale bien supérieur à la Polynésie, est confirmée par la Haute autorité de santé depuis une semaine. En effet, une augmentation des contaminations et des hospitalisations, même si ces dernières sont moins importantes que lors des précédentes vagues, sont actuellement constatées. Cette reprise relèverait, selon les autorités hexagonales, de plusieurs facteurs. Tout d’abord, toutes les personnes fragiles ne sont pas encore couvertes par le vaccin. Ensuite, l’immunité des plus de 65 ans, vaccinés tôt, diminue véritablement, tandis que, pour l’instant, seules 17 % des personnes éligibles à la dose de rappel se sont fait injecter cette troisième dose. Enfin, les mesures barrières ne sont plus respectées. Cependant, à la vue des schémas des quatre vagues précédentes, les autorités de santé savent qu’elles peuvent encore réagir. « Les chiffres parlent souvent trois à quatre semaines avant de se manifester dans les hôpitaux. Il faut donc mettre le paquet sur la troisième dose dès maintenant », raconte un spécialiste. Cette cinquième vague, qui pourrait débuter dès début décembre dans l’Hexagone, arriverait donc un peu plus de 4 mois après le début de la quatrième, constatée fin juillet, dans l’Hexagone. En conséquence peut-on redouter une même trajectoire pour la Polynésie ? Ce qui laisserait craindre une potentielle nouvelle vague d’ici fin décembre, au fenua, comme le suggère l’institut Pasteur… Certains médecins de l’hôpital en sont persuadés, mais les épidémiologistes du territoire préfèrent rester prudents. « Il y a beaucoup de paramètres à prendre en compte pour faire ce type de modélisation, comme le taux de vaccination, le taux d’immunité acquise, sa durée, le type de variant, etc. C’est encore trop tôt pour suggérer quoi que ce soit », insiste le docteur Henri-Pierre Mallet. Toujours est-il que si, comme en juillet, l’institut Pasteur ne se trompait pas, cela voudrait dire que le gouvernement n’a que deux mois devant lui pour vacciner au moins 80 % de sa population générale, administrer une dose de rappel aux plus fragiles et aux personnes vaccinées de la première heure et mettre en place un passe sanitaire efficace pour éviter une nouvelle saturation des hôpitaux et un nouveau confinement. Vaccination : comparaison Hexagone / Polynésie (Schéma vaccinal complet)  Taux vaccination population générale (chiffres arrêtés au 26/10/2021) : Hexagone : 74 % - Polynésie : 54,2 %  Taux vaccination population âgée de 12 ans et + : Hexagone : -88 % - Polynésie : 65,9 %  Taux vaccination population 60 ans et + : Hexagone : 94 % - Polynésie : 92,5 % * 
139;Covid-19 au Luxembourg : une durée de validité pour le certificat de vaccination;11/03/2021;https://actu.fr/societe/coronavirus/covid-19-au-luxembourg-une-duree-de-validite-pour-le-certificat-de-vaccination_46152384.html;Ninon Oget;societe;Le Luxembourg a fixé provisoirement une durée de validité pour le certificat de vaccination. Néanmoins, celle-ci pourrait être prolongée en fonction des données scientifiques.;Actu Covid-19 au Luxembourg : une durée de validité pour le certificat de vaccination Le Luxembourg a fixé provisoirement une durée de validité pour le certificat de vaccination. Néanmoins, celle-ci pourrait être prolongée en fonction des données scientifiques. Le certificat de vaccination a une durée de validité de douze mois au Luxembourg.    Actu Luxembourg Mon actu Suivre La ministre de la Santé du Luxembourg, Paulette Lenert, a profité d’une question parlementaire pour donner des précisions sur la validité du certificat de vaccination, le mardi 2 novembre 2021. À lire aussi Pass sanitaire au Luxembourg : « Une menace pour les libertés fondamentales » La durée de validité pourrait être prolongée Le règlement de l’Union européenne ne précise pas la durée de validité du certificat de vaccination, explique la politique. Il revient alors à chaque Etats membres de fixer ce délai au niveau national. Et au Luxembourg, celui-ci est de douze mois.  « La durée des certificats a été fixée provisoirement à douze mois après un schéma de vaccination complet (donc à la date d’injection de la deuxième dose pour la plupart des vaccins, à l’exception du vaccin Janssen qui est à dose unique) », déclare la ministre. En revanche, cette dernière précise que le délai pourrait être prolongé « en fonction de nouvelles données scientifiques qui prouveraient une efficacité des vaccins à plus long terme« . 
140;La vaccination des enfants de 5 à 11 ans lancée aux Etats-Unis;11/03/2021;https://actu.fr/societe/coronavirus/la-vaccination-des-enfants-de-5-a-11-ans-lancee-aux-etats-unis_46152308.html;Rédaction Actu;societe;28 millions de jeunes enfants sont concernés par cette nouvelle étape de la campagne d'immunisation outre-Atlantique, qui a commencé mardi 2 novembre 2021.;"Actu Coronavirus La vaccination des enfants de 5 à 11 ans lancée aux Etats-Unis 28 millions de jeunes enfants sont concernés par cette nouvelle étape de la campagne d'immunisation outre-Atlantique, qui a commencé mardi 2 novembre 2021. Une enfant de huit ans reçoit une injection du vaccin de Pfizer peu après l’ouverture de la vaccination pour sa tranche d’âge aux Etats-Unis, à Hartford dans le Connecticut, le 2 novembre 2021.    Actu Mon actu Suivre Les injections de vaccin contre le Covid-19 aux enfants de 5 à 11 ans ont commencé mardi 2 novembre 2021 aux Etats-Unis, une nouvelle étape de la campagne d’immunisation saluée comme un « tournant » par Joe Biden, avec 28 millions de bambins nouvellement éligibles dans le pays. Today, following a rigorous review and authorization process by the FDA, the CDC has formally recommended the Pfizer COVID-19 vaccine for children 5-11. This is encouraging news, and a major step forward for our nation in our fight to defeat the virus. https://t.co/JjaLbqTDTp — President Biden (@POTUS) November 3, 2021 Les Centres de prévention et de lutte contre les maladies (CDC) ont officiellement recommandé mardi les injections du vaccin de Pfizer pour cette tranche d’âge, après l’autorisation en fin de semaine dernière par l’Agence américaine des médicaments (FDA). À lire aussi Covid-19. « La reprise épidémique s’installe » : le taux d’incidence repart à la hausse Dosage adapté Il est toujours administré en deux injections, à trois semaines d’écart. Mais le dosage a été adapté à 10 microgrammes par piqure, contre 30 microgrammes pour les groupes plus âgés. Dès mardi soir, à l’hôpital d’Hartford, dans le Connecticut, un petit groupe de six enfants a reçu une première dose. « Ca ne fait pas vraiment mal », a confié à l’AFP Kareem Omar, 6 ans, en disant faire cela « pour aider l’Amérique ». « Je pourrais pleurer juste en pensant à ce moment », a dit Liz Cronin, une mère venue vacciner deux enfants âgés de 6 et 8 ans. « Nous avons tous attendu depuis si longtemps que nos enfants retrouvent un certain sens de la normalité. » WATCH: The first groups of children aged 5-11 in the US receive their Pfizer COVID-19 vaccination shots at Hartford HealthCare in Connecticut on Tuesday. | ?? @AFP #COVID19 #DailyTribune pic.twitter.com/JjRzgFO1lO — Daily Tribune (@tribunephl) November 3, 2021 Un « tournant » dans la lutte contre la pandémie La vaccination « permettra aux parents de mettre fin à des mois d’inquiétude pour leurs enfants », s’est félicité le président américain immédiatement après l’annonce, saluant un « important pas en avant » et un « tournant » dans la lutte contre la pandémie. Les États-Unis prêts à vacciner les jeunes enfants contre le Covid-19 dès novembre #AFP #AFPTV pic.twitter.com/r6xCuNUKXg — Agence France-Presse (@afpfr) October 21, 2021 Le gouvernement avait largement anticipé la décision des autorités sanitaires en se procurant assez de doses pour cette tranche d’âge, et en commençant à en envoyer des millions aux quatre coins du pays. Depuis l’autorisation de la FDA, « il n’y a pas eu un moment où les équipes n’ont pas récupéré, emballé, et envoyé des vaccins », a déclaré lundi Jeff Zients, le coordinateur de la lutte contre la pandémie à la Maison Blanche. « Ils ont travaillé 24h/24 et continueront à le faire. » La campagne de vaccination des jeunes enfants « atteindra sa pleine capacité la semaine du 8 novembre », avait-il précisé. Pharmacies, pédiatres, écoles Chez les 5 à 11 ans, plus de 1,9 million de cas de Covid-19 ont été enregistrés aux Etats-Unis, plus de 8300 hospitalisations, plus de 2300 cas de MIS-C (syndrome inflammatoire multisystémique pédiatrique), et une centaine de décès. Selon les essais cliniques menés par Pfizer sur des milliers d’enfants, le vaccin a démontré une efficacité de 90,7% contre les formes symptomatiques de la maladie. Outre leur éviter de tomber malades, les bénéfices attendus comportent également une baisse du nombre de fermetures de classes, et une possible réduction de la transmission de l’épidémie dans la population générale. Les doses seront disponibles dans des pharmacies, des hôpitaux pédiatriques, mais aussi dans des cabinets de pédiatres, de médecins de famille, et certaines écoles.. ""Probably by the end of this year, there should be some data on the next youngest …"" CNN's @drsanjaygupta discusses the CDC considering the Pfizer Covid-19 vaccine for children ages 5-11 and when the public can expect data on younger kids. pic.twitter.com/VA5uHaykqO — CNN Newsroom (@CNNnewsroom) November 2, 2021 Inquiétudes concernent surtout les effets secondaires Le bouchon des flacons destinés aux enfants est orange, et ainsi facilement reconnaissable comparé aux bouchons violets des flacons pour les groupes plus âgés. Selon un sondage présenté mardi par les CDC et réalisé en septembre auprès de 1000 parents, 57% ont déclaré qu’ils feraient « sans aucun doute » ou « probablement » vacciner leur enfant. Parmi les hésitants, les inquiétudes concernent surtout les effets secondaires à court ou long terme. Plus tôt dans la journée, un comité d’experts convoqués par les CDC avait unanimement recommandé le vaccin de Pfizer pour les 5 à 11 ans. Un flacon du vaccin Pfizer destiné aux enfants de 5 à 11 ans à Hartford, dans le Connecticut, le 2 novembre 2021.  Neuf décès suspectés d’être liés à une myocardite après le vaccin Ces scientifiques indépendants ont passé en revue, durant une journée de discussions retransmises en direct, les données disponibles sur l’impact de l’épidémie chez les enfants, l’efficacité du vaccin de Pfizer, et ses possibles effets secondaires. La principale inquiétude concernait le risque de myocardite, une inflammation du muscle cardiaque, détectée chez les adolescents et jeunes adultes (surtout masculins) après la vaccination avec Pfizer ou Moderna. Les autorités sanitaires ont confirmé près de 880 cas chez les moins de 30 ans (plus de 600 restent à évaluer), dont environ 830 ont nécessité une hospitalisation. La plupart des cas se résolvent en quelques jours. Neuf décès ont été suspectés d’être liés à une myocardite après le vaccin. Mais sur six cas pour le moment examinés, une myocardite liée au vaccin a finalement été écartée « comme la cause du décès », a déclaré lors d’une présentation le Dr Matthew Oster, cardiologue pédiatrique. Des enfants font la queue pour se faire vacciner contre le Covid-19 le 2 novembre 2021 à l’hôpital de Hartford dans le Connecticut.  « Excellentes preuves »  « Le risque d’avoir un problème cardiaque est bien plus haut si vous attrapez le Covid que si vous prenez ce vaccin », a-t-il ajouté. Les experts pensent en outre que le risque de myocardite devrait être plus rare chez les jeunes enfants, grâce au dosage réduit, et parce que ce risque pourrait être lié aux niveaux de testostérone. « Si j’avais un petit-fils, je le ferais assurément vacciner », a déclaré Beth Bell, spécialiste des maladies infectieuses et membre du comité. « Nous avons d’excellentes preuves d’efficacité et de sûreté. Nous avons une analyse bénéfice-risque favorable », a-t-elle martelé. Source : © 2021 AFP "
141;"Pass sanitaire au Luxembourg : ""Une menace pour les libertés fondamentales""";11/02/2021;https://actu.fr/societe/coronavirus/pass-sanitaire-au-luxembourg-une-menace-pour-les-libertes-fondamentales_46140060.html;Ninon Oget;societe;Étendu au Luxembourg et de manière facultative dans les entreprises, le pass sanitaire continue à faire parler. Une pétition le considère comme étant une entrave aux libertés.;"Actu Pass sanitaire au Luxembourg : ""Une menace pour les libertés fondamentales"" Étendu au Luxembourg et de manière facultative dans les entreprises, le pass sanitaire continue à faire parler. Une pétition le considère comme étant une entrave aux libertés. Une pétition contre le pass sanitaire dans les institutions publiques et les entreprises privées circule au Luxembourg.    Actu Luxembourg Mon actu Suivre Malgré son instauration, le pass sanitaire continue à faire couler beaucoup d’encre au Luxembourg. Après une quatrième marche blanche organisée contre les nouvelles mesures sanitaires et les différentes réactions des syndicats, c’est au tour des citoyens de se mobiliser contre l’application du CovidCheck. Sur le site du gouvernement, une pétition contre l’obligation de présenter le pass sanitaire dans les institutions publiques et les entreprises privées circule. À lire aussi Covid-19. Luxembourg : Luxair souhaite le retrait du port du masque dans l’avion « Une menace pour les libertés fondamentales » Pour le pétitionnaire, l’idée est simplement de « préserver le droit d’accès aux institutions publiques pour tout citoyen indifféremment de la présentation ou pas du CovidCheck et d’assurer l’égalité des chances au marché du travail pour tout citoyen sans être conditionné de la possession d’un passeport sanitaire ». En effet, pour lutter contre la pandémie de Covid-19, le gouvernement du Luxembourg autorise désormais les sociétés, publiques ou privées, à instaurer le pass sanitaire dans leurs locaux. Selon la proposition, cette extension du CovidCheck est une entrave au droit de libre circulation et à l’accès du marché du travail, sans compter qu’elle crée « une inégalité des chances entre possesseurs et non possesseurs du pass sanitaire ». En soi, c’est une « menace pour les libertés fondamentales » qui « divise la société en deux ». Déjà plus de 4 000 signatures Des arguments qui semblent avoir convaincu un large public puisque la pétition connaît un franc succès. En ligne pour encore 31 jours, elle cumule déjà 4 100 signatures, ce mardi 2 novembre 2021, sur les 4 500 nécessaires pour être débattue par les députés et les ministres compétents. "
